09-19 22:20:51: Training starting...
09-19 22:20:52: New best reward 9.0 (-100.0%) at episode 0, saving model...
09-19 22:20:52: New best reward 42.0 (+366.7%) at episode 1, saving model...
09-19 22:20:53: New best reward 67.0 (+59.5%) at episode 33, saving model...
09-19 22:20:53: New best reward 81.0 (+20.9%) at episode 189, saving model...
09-19 22:20:54: New best reward 89.0 (+9.9%) at episode 348, saving model...
09-19 22:20:54: New best reward 101.0 (+13.5%) at episode 403, saving model...
09-19 22:20:55: New best reward 113.0 (+11.9%) at episode 465, saving model...
09-19 22:20:55: New best reward 195.0 (+72.6%) at episode 491, saving model...
09-19 22:20:59: New best reward 294.0 (+50.8%) at episode 976, saving model...
09-19 22:21:04: New best reward 361.0 (+22.8%) at episode 1276, saving model...
09-19 22:21:08: New best reward 382.0 (+5.8%) at episode 1497, saving model...
09-19 22:21:10: New best reward 392.0 (+2.6%) at episode 1544, saving model...
09-19 22:21:43: New best reward 405.0 (+3.3%) at episode 2715, saving model...
09-19 22:21:46: New best reward 407.0 (+0.5%) at episode 2781, saving model...
09-19 22:21:46: New best reward 432.0 (+6.1%) at episode 2782, saving model...
09-19 22:21:56: New best reward 530.0 (+22.7%) at episode 3063, saving model...
09-19 22:22:00: New best reward 535.0 (+0.9%) at episode 3169, saving model...
09-19 22:22:03: New best reward 587.0 (+9.7%) at episode 3213, saving model...
09-19 22:22:06: New best reward 773.0 (+31.7%) at episode 3291, saving model...
09-19 22:22:12: New best reward 924.0 (+19.5%) at episode 3435, saving model...
09-19 22:22:26: New best reward 1028.0 (+11.3%) at episode 3648, saving model...
09-19 22:22:41: New best reward 1039.0 (+1.1%) at episode 3867, saving model...
09-19 22:22:48: New best reward 1265.0 (+21.8%) at episode 3952, saving model...
09-19 22:35:43: New best reward 1363.0 (+7.7%) at episode 15007, saving model...
