09-19 22:38:17: Training starting...
09-19 22:38:18: New best reward -7.5 (-100.0%) at episode 0, saving model...
09-19 22:38:18: New best reward -5.7 (-24.0%) at episode 6, saving model...
09-19 22:38:19: New best reward -2.1 (-63.2%) at episode 10, saving model...
09-19 22:38:25: New best reward 3.9 (-285.7%) at episode 864, saving model...
09-19 22:39:05: New best reward 4.1 (+5.1%) at episode 5920, saving model...
09-19 22:39:45: New best reward 4.3 (+4.9%) at episode 9931, saving model...
09-19 22:40:22: New best reward 4.4 (+2.3%) at episode 13239, saving model...
09-19 22:40:22: New best reward 4.6 (+4.5%) at episode 13267, saving model...
09-19 22:40:25: New best reward 6.2 (+34.8%) at episode 13510, saving model...
09-19 22:40:31: New best reward 6.3 (+1.6%) at episode 14013, saving model...
09-19 22:40:56: New best reward 6.5 (+3.2%) at episode 16141, saving model...
09-19 22:41:18: New best reward 6.7 (+3.1%) at episode 17893, saving model...
09-19 22:41:37: New best reward 8.4 (+25.4%) at episode 19407, saving model...
